content_hash,kept_source_file,duplicate_source_file,reason
613d7784c7a1dcb9b573f7775b064301e3f7a6fe48d53a131a07978d9ac40a7d,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 10-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 10-2024__copy3.pdf,Same file hash.
65a02eac85057eb56bb059a31b31637ae66cfae8a5a38ae9e5d8e09a8e3c0814,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 11-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 11-2024__copy2.pdf,Same file hash.
65a02eac85057eb56bb059a31b31637ae66cfae8a5a38ae9e5d8e09a8e3c0814,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 11-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 11-2024__copy3.pdf,Same file hash.
3f34b730cd373b04bcca406607374c07127eb97e637a755ec5bc5597264ddc85,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 12-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 12-2024__copy2.pdf,Same file hash.
3f34b730cd373b04bcca406607374c07127eb97e637a755ec5bc5597264ddc85,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 12-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 12-2024__copy3.pdf,Same file hash.
e577f843c3d556c668fe1ea250d79def4b2c0c2961265305e126bf609775a406,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2023 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2023 #9109__copy2.pdf,Same file hash.
e577f843c3d556c668fe1ea250d79def4b2c0c2961265305e126bf609775a406,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2023 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/02-2023 #9109__copy3.pdf,Same file hash.
231e88e93984f9b184e6894179153dd7aa7d9243c5b6d8791bdd42edd3d90d6e,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2022 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2022 #9109__copy2.pdf,Same file hash.
231e88e93984f9b184e6894179153dd7aa7d9243c5b6d8791bdd42edd3d90d6e,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2022 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/04-2022 #9109__copy3.pdf,Same file hash.
0a57447f0d40cbcca1bfbf759f25e562b56040c4dec572b33b6ae202f8f9ec94,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance/06-2021 #9109__copy2.pdf,Same file hash.
